"Summary of JAGS with all replications"
"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"rm",0.594866643158321,0.618304152104552,0.0248494950299956,0.171788621492093,0.399172693104756,0.79547349865477,2.39417487709499,1.0019624101655,2000
"s",0.303853066520199,0.0121513441346141,0.281269238486709,0.295638910795013,0.303540822223964,0.311964053893483,0.32833554039472,1.00449880185171,650

"Summary of JAGS with replication No.3"
"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Gstar",31.9361067246312,2.23021136160979,27.5038541882337,30.476429624358,31.9615868003372,33.4153358685513,36.296702616887,1.00112422427401,11000
"J[1]",168.862588881154,1.5519040136395,165.893407979863,167.83206031455,168.830610113637,169.860718122362,172.051236139069,1.00372039064026,720
"J[2]",49.5318775872123,0.777392768217363,48.0019057150714,49.0229048751825,49.5283907394111,50.0403766210419,51.0693323679807,1.00483795312147,520
"J[3]",35.9971836817683,0.55960069376908,34.9003144658483,35.6334721558987,35.9944093936614,36.3668134911356,37.1095608497329,1.0049461942844,500
"J[4]",19.0911274982411,0.293393229186743,18.520147344869,18.8984978066383,19.0873817692548,19.2828527808368,19.6705682894482,1.00461747430172,550
"Km",428,0,428,428,428,428,428,1,1
"Resp",1.26114019744664,0.288362603637733,0.718064371015706,1.06758270693109,1.25288985128922,1.44360311264212,1.85188256560861,1.00097104190044,30000
"Vcmax",102.011085458512,5.63951754400012,92.6617909795899,97.9434066224172,101.520058420657,105.393375190161,114.475920066858,1.00150373025415,3600
"rm",1.07475472373362,0.474388132855229,0.202997605471349,0.737161773315829,1.06668676704705,1.38322039660661,2.05265954639978,1.00161159714614,3200
"s",0.308248297609664,0.00449566130791093,0.299516492409102,0.305307425585375,0.308221654990642,0.311145469362621,0.317123706926933,1.0052843104603,460

"Summary of JAGS with replication No.4"
